,Employee_No,Late_minutes,Early_minutes,isLate,isEarly,isHoliday,isOT,holiday_hours,OT_hours,Working_Time,count,project_code,isLate%,isEarly%,isHoliday%
180,757,0.0,0.0,0,0,4,0,46.583333333333336,316.76666666666665,1522.7666666666667,134,182.0,0.0,0.0,0.029850746268656716
181,758,10.0,15.0,1,1,29,0,279.1666666666667,388.45,5587.2,578,182.0,0.0017301038062283738,0.0017301038062283738,0.050173010380622836
182,760,19.066666666666666,19551.466666666667,1,450,15,0,170.44833333333332,881.0797222222222,5196.647222222222,452,179.1,0.0022123893805309734,0.995575221238938,0.033185840707964605
183,761,793.6333333333333,4278.25,43,259,1,2,9.136388888888888,56.388055555555574,2882.3133333333335,313,179.1,0.13738019169329074,0.8274760383386581,0.003194888178913738
184,763,587.9,9.649999999999999,77,3,5,0,49.691944444444445,86.48472222222222,1049.0716666666667,107,179.1,0.719626168224299,0.028037383177570093,0.04672897196261682
185,772,54.4,2595.116666666667,8,227,10,0,104.34777777777778,550.7366666666667,2708.988611111111,235,187.0,0.03404255319148936,0.9659574468085106,0.0425531914893617
186,778,54.333333333333336,9401.75,4,238,3,0,28.473333333333336,133.2686111111111,2646.715277777778,265,196.0,0.01509433962264151,0.8981132075471698,0.011320754716981131
187,779,0.0,640.3166666666667,0,10,0,0,0.0,22.14861111111111,122.82055555555556,10,196.0,0.0,1.0,0.0
188,781,138.95,2358.483333333333,34,263,11,0,113.52027777777778,578.0608333333333,3305.2272222222223,300,187.0,0.11333333333333333,0.8766666666666667,0.03666666666666667
189,783,70.65,3250.1,7,176,8,0,82.24416666666667,327.8597222222222,2029.0280555555555,183,187.0,0.03825136612021858,0.9617486338797814,0.04371584699453552
190,784,2.5,1071.0666666666666,1,58,0,0,0.0,142.46333333333334,709.3144444444445,61,187.0,0.01639344262295082,0.9508196721311475,0.0
191,786,9.0,2001.6333333333334,1,74,5,0,46.37444444444444,245.37194444444447,1016.7325,82,198.1,0.012195121951219513,0.9024390243902439,0.06097560975609756
192,788,16.25,1532.4166666666667,2,56,0,0,0.0,78.87388888888889,613.4188888888889,58,187.0,0.034482758620689655,0.9655172413793104,0.0
193,791,0.0,51.96666666666667,0,4,0,0,0.0,12.080833333333336,48.94694444444445,4,187.0,0.0,1.0,0.0
194,798,598.0333333333333,228.51666666666668,68,40,1,0,9.0,201.04472222222225,1356.941111111111,129,190.0,0.5271317829457365,0.31007751937984496,0.007751937984496124
195,801,195.36666666666667,2215.0666666666666,50,137,7,0,66.26027777777777,392.5388888888889,2300.8441666666668,208,190.0,0.2403846153846154,0.6586538461538461,0.03365384615384615
196,802,5.2,49.916666666666664,1,4,0,0,0.0,0.1858333333333326,46.0025,5,190.0,0.2,0.8,0.0
197,805,124.11666666666667,235.41666666666669,6,15,0,0,0.0,123.74194444444444,459.90555555555557,37,190.0,0.16216216216216217,0.40540540540540543,0.0
198,806,94.36666666666667,253.06666666666666,5,9,0,0,0.0,80.10166666666667,344.52416666666664,29,190.0,0.1724137931034483,0.3103448275862069,0.0
199,808,28.666666666666664,18719.416666666668,2,513,36,52,388.71944444444443,1066.6225,5761.649444444444,548,195.0,0.0036496350364963502,0.9361313868613139,0.06569343065693431
200,809,0.0,40658.416666666664,0,401,37,193,446.18833333333333,2851.2375,7137.877777777778,594,195.0,0.0,0.6750841750841751,0.06228956228956229
201,810,3.0,1576.2,1,85,6,2,55.83972222222222,63.425277777777794,888.5255555555556,91,195.0,0.01098901098901099,0.9340659340659341,0.06593406593406594
202,811,88.26666666666667,7896.95,10,441,18,1,175.02027777777778,240.41722222222225,4444.238611111111,455,195.0,0.02197802197802198,0.9692307692307692,0.03956043956043956
203,813,0.0,0.0,0,0,11,0,121.5,459.0,2412.0,217,199.1,0.0,0.0,0.05069124423963134
204,816,7.0,1061.6833333333334,2,78,4,1,37.66138888888889,57.103611111111114,814.5447222222223,85,195.0,0.023529411764705882,0.9176470588235294,0.047058823529411764
205,818,0.48333333333333334,2153.5,1,137,6,0,51.31527777777778,76.64583333333334,1343.9952777777778,140,195.0,0.007142857142857143,0.9785714285714285,0.04285714285714286
206,819,279.8,1858.8666666666666,2,119,6,0,51.477777777777774,51.02444444444447,1154.8216666666667,122,195.0,0.01639344262295082,0.9754098360655737,0.04918032786885246
207,821,324.75,7708.416666666667,55,456,28,0,284.06333333333333,629.0002777777778,5418.315277777778,521,195.0,0.10556621880998081,0.8752399232245681,0.053742802303262956
208,824,13.333333333333334,696.55,2,85,6,0,55.30777777777777,18.573333333333345,833.5594444444445,91,195.0,0.02197802197802198,0.9340659340659341,0.06593406593406594
209,826,104.55,4836.916666666667,26,418,21,0,203.4152777777778,254.22250000000003,4272.789722222222,447,195.0,0.058165548098434,0.9351230425055929,0.04697986577181208
210,828,24.35,3782.7833333333333,4,94,27,0,318.3,1417.9158333333332,6169.87,521,199.1,0.007677543186180422,0.18042226487523993,0.05182341650671785
211,829,425.25,11449.133333333333,1,96,16,133,196.31666666666666,1819.5169444444443,3162.3358333333335,261,199.1,0.0038314176245210726,0.367816091954023,0.06130268199233716
212,830,69.63333333333334,8562.866666666667,1,131,27,226,311.5444444444444,2875.2455555555557,4237.6836111111115,362,199.1,0.0027624309392265192,0.36187845303867405,0.07458563535911603
213,832,96.46666666666667,7211.3,7,217,12,0,123.58666666666667,205.73916666666668,2368.494722222222,227,189.0,0.030837004405286344,0.9559471365638766,0.05286343612334802
214,835,60.33333333333333,3136.6833333333334,4,84,4,0,38.559444444444445,59.45666666666667,1128.3355555555556,113,189.0,0.035398230088495575,0.7433628318584071,0.035398230088495575
215,840,46.0,1225.5,1,35,0,0,0.0,42.46805555555556,386.8930555555556,36,189.0,0.027777777777777776,0.9722222222222222,0.0
216,846,0.0,0.0,0,0,37,541,444.0,6492.0,6492.0,541,199.1,0.0,0.0,0.06839186691312385
217,848,0.0,420.0,0,14,14,0,158.5,471.5,2440.5,218,199.1,0.0,0.06422018348623854,0.06422018348623854
218,852,0.0,0.0,0,0,41,624,492.0,7513.0,7558.0,629,199.1,0.0,0.0,0.06518282988871224
219,853,0.0,1913.0,0,39,3,0,32.33333333333333,61.99999999999999,651.8833333333333,62,199.1,0.0,0.6290322580645161,0.04838709677419355
220,854,5.0,17067.5,1,473,34,0,373.3616666666667,365.49083333333334,4996.949166666666,483,199.1,0.002070393374741201,0.979296066252588,0.07039337474120083
221,858,0.0,51435.0,0,428,36,127,432.0,2193.0,6902.25,555,199.1,0.0,0.7711711711711712,0.06486486486486487
222,859,0.0,1920.0,0,16,35,464,420.0,5588.083333333333,5764.083333333333,480,199.1,0.0,0.03333333333333333,0.07291666666666667
223,862,0.0,4480.0,0,149,7,0,88.0,415.0,1830.6666666666667,149,199.1,0.0,1.0,0.04697986577181208
224,864,0.0,0.0,0,0,2,25,24.0,300.0,300.0,25,199.1,0.0,0.0,0.08
225,866,0.0,0.0,0,0,31,419,373.0,5069.0,5069.0,419,199.1,0.0,0.0,0.07398568019093078
226,868,0.0,59040.0,0,492,34,0,408.0,492.0,5904.0,492,199.1,0.0,1.0,0.06910569105691057
227,869,0.0,7320.0,0,61,14,145,168.0,1801.0,2472.0,206,199.1,0.0,0.2961165048543689,0.06796116504854369
228,871,1331.0,100.0,41,4,1,0,3.0,46.22638888888889,1726.5097222222223,191,199.1,0.21465968586387435,0.020942408376963352,0.005235602094240838
229,872,0.0,0.0,0,0,8,0,72.0,0.0,4608.0,512,197.0,0.0,0.0,0.015625
230,874,0.0,1222.0,0,44,0,0,0.0,144.0,560.3666666666667,44,197.0,0.0,1.0,0.0
231,875,0.0,1967.0,0,66,0,0,0.0,209.0,835.7833333333333,66,197.0,0.0,1.0,0.0
232,876,0.0,2567.0,0,83,0,0,0.0,238.0,1032.7833333333333,84,197.0,0.0,0.9880952380952381,0.0
233,878,0.0,5311.0,0,154,0,0,0.0,328.65,1791.1666666666667,154,197.0,0.0,1.0,0.0
234,879,0.0,0.0,0,0,0,4,0.0,48.0,170.0,18,197.0,0.0,0.0,0.0
235,880,0.0,0.0,0,0,15,247,180.0,2964.0,2964.0,247,197.0,0.0,0.0,0.06072874493927125
236,882,240.0,1080.0,1,9,22,340,288.0,4206.0,4314.0,350,197.0,0.002857142857142857,0.025714285714285714,0.06285714285714286
237,883,33.0,1909.8833333333332,1,69,0,0,0.0,263.45,934.2813888888888,71,197.0,0.014084507042253521,0.971830985915493,0.0
238,884,0.0,485.0,0,16,0,0,0.0,46.0,198.08333333333334,16,169.0,0.0,1.0,0.0
239,886,0.0,129.0,0,4,0,0,0.0,12.0,50.15,4,197.0,0.0,1.0,0.0
240,887,0.0,853.0,0,37,0,0,0.0,114.0,461.21666666666664,37,197.0,0.0,1.0,0.0
241,890,0.0,3160.0,0,128,0,0,0.0,258.15,1454.8166666666666,128,197.0,0.0,1.0,0.0
242,891,0.0,5996.0,0,203,0,0,0.0,482.9,2393.8333333333335,203,197.0,0.0,1.0,0.0
243,895,182.0,2728.0,1,91,0,0,0.0,292.0,1165.4333333333334,92,197.0,0.010869565217391304,0.9891304347826086,0.0
244,896,0.0,6705.0,0,157,0,0,0.0,397.06666666666666,1913.8166666666666,157,197.0,0.0,1.0,0.0
245,900,0.0,6586.0,0,183,0,0,0.0,465.6,2210.366666666667,183,197.0,0.0,1.0,0.0
246,902,0.0,7451.0,0,198,0,0,0.0,486.15,2397.3333333333335,199,197.0,0.0,0.9949748743718593,0.0
247,903,0.0,1730.0,0,60,0,0,0.0,233.0,801.8333333333334,60,197.0,0.0,1.0,0.0
248,905,0.0,3716.0,0,154,1,0,9.5,347.43333333333334,1796.3666666666666,155,197.0,0.0,0.9935483870967742,0.0064516129032258064
249,906,2.0,6771.0,1,177,0,0,0.0,419.2333333333333,2130.0833333333335,178,197.0,0.0056179775280898875,0.9943820224719101,0.0
250,907,0.0,0.0,0,0,0,0,0.0,60.0,330.0,30,197.0,0.0,0.0,0.0
251,908,212.31666666666666,6623.283333333334,50,372,16,0,157.8061111111111,702.7625,4616.808333333333,424,198.1,0.1179245283018868,0.8773584905660378,0.03773584905660377
252,909,0.0,1637.0,0,56,0,0,0.0,178.0,700.2833333333333,56,197.0,0.0,1.0,0.0
253,918,2151.5,1503.6,16,106,7,27,70.7811111111111,543.5744444444445,1698.3641666666667,153,198.1,0.10457516339869281,0.6928104575163399,0.0457516339869281
254,921,626.3333333333334,1251.35,74,101,7,0,68.74444444444444,223.03166666666667,1864.3266666666666,183,198.1,0.40437158469945356,0.5519125683060109,0.03825136612021858
255,923,678.4833333333333,2952.9166666666665,12,164,5,4,49.97666666666667,527.1480555555555,2163.225,183,190.0,0.06557377049180328,0.8961748633879781,0.0273224043715847
256,925,169.41666666666666,29471.733333333334,2,468,13,38,155.8838888888889,1708.2152777777778,6162.798611111111,508,188.0,0.003937007874015748,0.9212598425196851,0.025590551181102362
257,929,0.0,272.0,0,8,0,0,0.0,23.166666666666668,99.7,8,184.0,0.0,1.0,0.0
258,932,0.0,479.73333333333335,0,32,0,0,0.0,73.5,362.1452777777778,32,188.0,0.0,1.0,0.0
259,933,0.0,554.0,0,18,0,0,0.0,47.266666666666666,227.5,19,184.0,0.0,0.9473684210526315,0.0
260,934,0.0,1036.0,0,30,0,0,0.0,68.39999999999999,373.6666666666667,32,195.0,0.0,0.9375,0.0
261,938,0.0,175.0,0,8,0,0,0.0,29.166666666666664,113.08333333333333,9,184.0,0.0,0.8888888888888888,0.0
262,941,1802.3333333333333,4605.35,83,266,1,1,9.088888888888889,30.717777777777798,3040.6280555555554,356,179.1,0.23314606741573032,0.7471910112359551,0.0028089887640449437
263,942,2561.4666666666667,3041.6,187,175,3,7,30.102777777777778,435.83833333333337,3663.448611111111,382,197.0,0.4895287958115183,0.4581151832460733,0.007853403141361256
264,943,83.9,1412.9166666666667,1,29,0,0,0.0,103.87083333333334,410.9194444444444,32,169.0,0.03125,0.90625,0.0
265,945,2740.633333333333,10314.483333333334,63,388,9,3,86.36,317.3041666666667,4436.739444444444,474,194.1,0.13291139240506328,0.8185654008438819,0.0189873417721519
266,947,141.25,19554.5,7,451,4,4,41.46666666666667,676.0727777777778,4993.797777777778,476,197.0,0.014705882352941176,0.9474789915966386,0.008403361344537815
267,948,221.03333333333333,17100.533333333333,16,475,15,6,168.79,1805.9275,6419.734444444444,517,193.0,0.030947775628626693,0.9187620889748549,0.029013539651837523
268,950,4191.9,3158.3166666666666,227,224,6,3,55.69,391.6933333333333,4399.838333333333,468,198.1,0.48504273504273504,0.47863247863247865,0.01282051282051282
269,959,0.0,1260.4833333333333,0,37,0,0,0.0,34.87222222222223,384.2861111111111,37,193.0,0.0,1.0,0.0
270,962,0.0,4495.016666666666,0,149,0,1,0.0,105.43833333333333,1516.4066666666668,150,193.0,0.0,0.9933333333333333,0.0
